nome do arquivo,vulnerabilidade,linha
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,459
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,541
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,1276
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,1281
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,1290
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,1292
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,1315
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,1323
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,1520
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,1522
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,1556
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,1560
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,1576
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,1621
0x04918f1071594af602f937f6a444b5f5787786ed_affectedByMinersInfo.sol,contractAffectedByMiners,123
0x04abeda201850ac0124161f037efd70c74ddc74c_affectedByMinersInfo.sol,contractAffectedByMiners,16
0x04abeda201850ac0124161f037efd70c74ddc74c_affectedByMinersInfo.sol,contractAffectedByMiners,30
0x04abeda201850ac0124161f037efd70c74ddc74c_affectedByMinersInfo.sol,contractAffectedByMiners,304
0x05b08e91a4071a2a5edcd5f750b0b7f2da0f70b6_affectedByMinersInfo.sol,contractAffectedByMiners,94
0x05b08e91a4071a2a5edcd5f750b0b7f2da0f70b6_affectedByMinersInfo.sol,contractAffectedByMiners,384
0x05b08e91a4071a2a5edcd5f750b0b7f2da0f70b6_affectedByMinersInfo.sol,contractAffectedByMiners,477
0x05b08e91a4071a2a5edcd5f750b0b7f2da0f70b6_affectedByMinersInfo.sol,contractAffectedByMiners,489
0x05b08e91a4071a2a5edcd5f750b0b7f2da0f70b6_affectedByMinersInfo.sol,contractAffectedByMiners,499
0x05b08e91a4071a2a5edcd5f750b0b7f2da0f70b6_affectedByMinersInfo.sol,contractAffectedByMiners,509
0x05b08e91a4071a2a5edcd5f750b0b7f2da0f70b6_affectedByMinersInfo.sol,contractAffectedByMiners,519
0x06a6fc23e6ec8a2b2aeeefd70d772dc3d6b45010_affectedByMinersInfo.sol,contractAffectedByMiners,226
0x06a8fee7a607c5c887f5f0672f7d8849583ddcc1_affectedByMinersInfo.sol,contractAffectedByMiners,121
0x06a8fee7a607c5c887f5f0672f7d8849583ddcc1_affectedByMinersInfo.sol,contractAffectedByMiners,171
0x073882b743a3a1E134E8c765bc294f29cFa76b3F_affectedByMinersInfo.sol,contractAffectedByMiners,217
0x073882b743a3a1E134E8c765bc294f29cFa76b3F_affectedByMinersInfo.sol,contractAffectedByMiners,492
0x073882b743a3a1E134E8c765bc294f29cFa76b3F_affectedByMinersInfo.sol,contractAffectedByMiners,501
0x073882b743a3a1E134E8c765bc294f29cFa76b3F_affectedByMinersInfo.sol,contractAffectedByMiners,540
0x073882b743a3a1E134E8c765bc294f29cFa76b3F_affectedByMinersInfo.sol,contractAffectedByMiners,578
0x075f0fa71550ddb9d10bedd55e717f80176b0481_affectedByMinersInfo.sol,contractAffectedByMiners,87
0x075f0fa71550ddb9d10bedd55e717f80176b0481_affectedByMinersInfo.sol,contractAffectedByMiners,426
0x075f0fa71550ddb9d10bedd55e717f80176b0481_affectedByMinersInfo.sol,contractAffectedByMiners,512
0x075f0fa71550ddb9d10bedd55e717f80176b0481_affectedByMinersInfo.sol,contractAffectedByMiners,531
0x075f0fa71550ddb9d10bedd55e717f80176b0481_affectedByMinersInfo.sol,contractAffectedByMiners,550
0x075f0fa71550ddb9d10bedd55e717f80176b0481_affectedByMinersInfo.sol,contractAffectedByMiners,565
0x075f0fa71550ddb9d10bedd55e717f80176b0481_affectedByMinersInfo.sol,contractAffectedByMiners,571
0x075f0fa71550ddb9d10bedd55e717f80176b0481_affectedByMinersInfo.sol,contractAffectedByMiners,578
0x07610200840468ed6cf614a15c702d99ca937b86_affectedByMinersInfo.sol,contractAffectedByMiners,110
0x07610200840468ed6cf614a15c702d99ca937b86_affectedByMinersInfo.sol,contractAffectedByMiners,407
0x07610200840468ed6cf614a15c702d99ca937b86_affectedByMinersInfo.sol,contractAffectedByMiners,408
0x07610200840468ed6cf614a15c702d99ca937b86_affectedByMinersInfo.sol,contractAffectedByMiners,419
0x07610200840468ed6cf614a15c702d99ca937b86_affectedByMinersInfo.sol,contractAffectedByMiners,431
0x07610200840468ed6cf614a15c702d99ca937b86_affectedByMinersInfo.sol,contractAffectedByMiners,495
0x07afd974e8f5812c8c366318d379215475f42386_affectedByMinersInfo.sol,contractAffectedByMiners,484
0x07afd974e8f5812c8c366318d379215475f42386_affectedByMinersInfo.sol,contractAffectedByMiners,1766
0x07afd974e8f5812c8c366318d379215475f42386_affectedByMinersInfo.sol,contractAffectedByMiners,2021
0x07afd974e8f5812c8c366318d379215475f42386_affectedByMinersInfo.sol,contractAffectedByMiners,2062
0x07afd974e8f5812c8c366318d379215475f42386_affectedByMinersInfo.sol,contractAffectedByMiners,2087
0x07afd974e8f5812c8c366318d379215475f42386_affectedByMinersInfo.sol,contractAffectedByMiners,2090
0x07afd974e8f5812c8c366318d379215475f42386_affectedByMinersInfo.sol,contractAffectedByMiners,2112
0x07afd974e8f5812c8c366318d379215475f42386_affectedByMinersInfo.sol,contractAffectedByMiners,2146
0x07afd974e8f5812c8c366318d379215475f42386_affectedByMinersInfo.sol,contractAffectedByMiners,2441
0x07afd974e8f5812c8c366318d379215475f42386_affectedByMinersInfo.sol,contractAffectedByMiners,2550
0x07afd974e8f5812c8c366318d379215475f42386_affectedByMinersInfo.sol,contractAffectedByMiners,2576
0x07afd974e8f5812c8c366318d379215475f42386_affectedByMinersInfo.sol,contractAffectedByMiners,2581
0x07afd974e8f5812c8c366318d379215475f42386_affectedByMinersInfo.sol,contractAffectedByMiners,2633
0x07c484abd8f885252C80510aAa1d4807733CFD17_affectedByMinersInfo.sol,contractAffectedByMiners,369
0x07c484abd8f885252C80510aAa1d4807733CFD17_affectedByMinersInfo.sol,contractAffectedByMiners,381
0x07c484abd8f885252C80510aAa1d4807733CFD17_affectedByMinersInfo.sol,contractAffectedByMiners,470
0x07c484abd8f885252C80510aAa1d4807733CFD17_affectedByMinersInfo.sol,contractAffectedByMiners,564
0x07c484abd8f885252C80510aAa1d4807733CFD17_affectedByMinersInfo.sol,contractAffectedByMiners,590
0x07c484abd8f885252C80510aAa1d4807733CFD17_affectedByMinersInfo.sol,contractAffectedByMiners,592
0x07c484abd8f885252C80510aAa1d4807733CFD17_affectedByMinersInfo.sol,contractAffectedByMiners,610
0x07c484abd8f885252C80510aAa1d4807733CFD17_affectedByMinersInfo.sol,contractAffectedByMiners,622
0x07c484abd8f885252C80510aAa1d4807733CFD17_affectedByMinersInfo.sol,contractAffectedByMiners,791
0x07cf8f81852a58dd26fa19e69545f72e263347e5_affectedByMinersInfo.sol,contractAffectedByMiners,1323
0x07cf8f81852a58dd26fa19e69545f72e263347e5_affectedByMinersInfo.sol,contractAffectedByMiners,1475
0x07cf8f81852a58dd26fa19e69545f72e263347e5_affectedByMinersInfo.sol,contractAffectedByMiners,2422
0x07cf8f81852a58dd26fa19e69545f72e263347e5_affectedByMinersInfo.sol,contractAffectedByMiners,2436
0x07cf8f81852a58dd26fa19e69545f72e263347e5_affectedByMinersInfo.sol,contractAffectedByMiners,2472
0x07cf8f81852a58dd26fa19e69545f72e263347e5_affectedByMinersInfo.sol,contractAffectedByMiners,2719
0x07cf8f81852a58dd26fa19e69545f72e263347e5_affectedByMinersInfo.sol,contractAffectedByMiners,3206
0x07cf8f81852a58dd26fa19e69545f72e263347e5_affectedByMinersInfo.sol,contractAffectedByMiners,3213
0x07cf8f81852a58dd26fa19e69545f72e263347e5_affectedByMinersInfo.sol,contractAffectedByMiners,3221
0x07cf8f81852a58dd26fa19e69545f72e263347e5_affectedByMinersInfo.sol,contractAffectedByMiners,3238
0x0844062cc26b3e71711500ee2b472ece36669397_affectedByMinersInfo.sol,contractAffectedByMiners,157
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,325
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,343
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,348
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,351
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,360
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,711
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1600
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1601
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1725
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1730
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1731
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1732
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1760
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1762
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1778
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1783
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1866
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1924
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1937
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1943
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1956
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1957
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1958
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1977
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1979
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,1990
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,2003
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,2066
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,2102
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,2106
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,2246
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,2293
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,2712
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,2797
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,2823
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,2850
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,2911
0x08cc7bba91b849156e9c44ded51896b38400f55b_affectedByMinersInfo.sol,contractAffectedByMiners,2914
0x096839afb376a09f16966acf4ed133a44e100ed5_affectedByMinersInfo.sol,contractAffectedByMiners,74
0x096839afb376a09f16966acf4ed133a44e100ed5_affectedByMinersInfo.sol,contractAffectedByMiners,116
0x099bcccd2e2ef8c638140f0655e76471acfed045_affectedByMinersInfo.sol,contractAffectedByMiners,153
0x0a1386b0c52c5f230083071b22e2864efaefbc9b_affectedByMinersInfo.sol,contractAffectedByMiners,396
0x0a1386b0c52c5f230083071b22e2864efaefbc9b_affectedByMinersInfo.sol,contractAffectedByMiners,472
0x0a1386b0c52c5f230083071b22e2864efaefbc9b_affectedByMinersInfo.sol,contractAffectedByMiners,952
0x0a1386b0c52c5f230083071b22e2864efaefbc9b_affectedByMinersInfo.sol,contractAffectedByMiners,954
0x0a1386b0c52c5f230083071b22e2864efaefbc9b_affectedByMinersInfo.sol,contractAffectedByMiners,991
0x0a1386b0c52c5f230083071b22e2864efaefbc9b_affectedByMinersInfo.sol,contractAffectedByMiners,995
0x0a1386b0c52c5f230083071b22e2864efaefbc9b_affectedByMinersInfo.sol,contractAffectedByMiners,1011
0x0a1386b0c52c5f230083071b22e2864efaefbc9b_affectedByMinersInfo.sol,contractAffectedByMiners,1048
0x0a4e9f69f5b2e1e661da9ed98956f928200ea4ba_affectedByMinersInfo.sol,contractAffectedByMiners,442
0x0a4e9f69f5b2e1e661da9ed98956f928200ea4ba_affectedByMinersInfo.sol,contractAffectedByMiners,518
0x0a4e9f69f5b2e1e661da9ed98956f928200ea4ba_affectedByMinersInfo.sol,contractAffectedByMiners,596
0x0a4e9f69f5b2e1e661da9ed98956f928200ea4ba_affectedByMinersInfo.sol,contractAffectedByMiners,598
0x0a4e9f69f5b2e1e661da9ed98956f928200ea4ba_affectedByMinersInfo.sol,contractAffectedByMiners,600
0x0a5f3b7a25fe312dfb6b41fdb2a73108de13e337_affectedByMinersInfo.sol,contractAffectedByMiners,152
0x0a5f3b7a25fe312dfb6b41fdb2a73108de13e337_affectedByMinersInfo.sol,contractAffectedByMiners,154
0x0a5f3b7a25fe312dfb6b41fdb2a73108de13e337_affectedByMinersInfo.sol,contractAffectedByMiners,156
0x0a5f3b7a25fe312dfb6b41fdb2a73108de13e337_affectedByMinersInfo.sol,contractAffectedByMiners,158
0x0a5f3b7a25fe312dfb6b41fdb2a73108de13e337_affectedByMinersInfo.sol,contractAffectedByMiners,250
0x0Ae055097C6d159879521C384F1D2123D1f195e6_affectedByMinersInfo.sol,contractAffectedByMiners,387
0x0Ae055097C6d159879521C384F1D2123D1f195e6_affectedByMinersInfo.sol,contractAffectedByMiners,731
0x0Ae055097C6d159879521C384F1D2123D1f195e6_affectedByMinersInfo.sol,contractAffectedByMiners,734
0x0Ae055097C6d159879521C384F1D2123D1f195e6_affectedByMinersInfo.sol,contractAffectedByMiners,971
0x0B1A6f9433Ee80B29BF92afdE3CF1a8fCa2b9F06_affectedByMinersInfo.sol,contractAffectedByMiners,887
0x0B1A6f9433Ee80B29BF92afdE3CF1a8fCa2b9F06_affectedByMinersInfo.sol,contractAffectedByMiners,967
0x0B1A6f9433Ee80B29BF92afdE3CF1a8fCa2b9F06_affectedByMinersInfo.sol,contractAffectedByMiners,1016
0x0B1A6f9433Ee80B29BF92afdE3CF1a8fCa2b9F06_affectedByMinersInfo.sol,contractAffectedByMiners,1025
0x0B1A6f9433Ee80B29BF92afdE3CF1a8fCa2b9F06_affectedByMinersInfo.sol,contractAffectedByMiners,1026
