Category,Function,Line Number,File Path,Solidity File Name,Line Content
SWC-100-Function Default Visibility,setRequireCustomerId,L149,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/Crowdsale.sol,Crowdsale.sol,function setRequireCustomerId(bool value) onlyOwner {
SWC-100-Function Default Visibility,setRequireSignedAddress,L161,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/Crowdsale.sol,Crowdsale.sol,"function setRequireSignedAddress(bool value, address _signerAddress) onlyOwner {"
SWC-103-Floating Pragma,N/A,L1 - L467,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/CrowdsaleBase.sol,CrowdsaleBase.sol,// SWC-103-Floating Pragma: L1 - L467
SWC-129-Typographical Error,setEarlyParicipantWhitelist,L414 - L417,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/CrowdsaleBase.sol,CrowdsaleBase.sol,"function setEarlyParicipantWhitelist(address addr, bool status) onlyOwner {"
SWC-102-Outdated Compiler Version,N/A,L8,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/DefaultFinalizeAgent.sol,DefaultFinalizeAgent.sol,pragma solidity ^0.4.6;
SWC-102-Outdated Compiler Version,N/A,L1,DAppSCAN-source/contracts/Blockchain Labs NZ-Ecomi/tge-contract-audit-17b96ff760471c174d8edbeacc6b8cd2cf2c6b82/contracts/OMICrowdsale.sol,OMICrowdsale.sol,pragma solidity ^0.4.18;
SWC-131-Presence of unused variables,N/A,L72 L75,DAppSCAN-source/contracts/Blockchain Labs NZ-Gifto/GiftoSmartContract-50e1f1895dd91a0dad0d4f0b2ea620e5827ed1fa/Gifto_TGE.sol,Gifto_TGE.sol,uint public _minimumBuy = 3 * 10 ** 17;
SWC-131-Presence of unused variables,validValue,L116 - L121,DAppSCAN-source/contracts/Blockchain Labs NZ-Gifto/GiftoSmartContract-50e1f1895dd91a0dad0d4f0b2ea620e5827ed1fa/Gifto_TGE.sol,Gifto_TGE.sol,modifier validValue(){
SWC-102-Outdated Compiler Version,N/A,L2,DAppSCAN-source/contracts/Blockchain Labs NZ-Leverj/staking-e8716e4a11881fad181b5330206d8b0c27a58510/contracts/Fee.sol,Fee.sol,pragma solidity ^0.4.18;
SWC-100-Function Default Visibility,N/A,L2-24,DAppSCAN-source/contracts/Blockchain Labs NZ-SynchroLife/synchrocoin-contracts-master/contracts/Migrations.sol,Migrations.sol,pragma solidity ^0.4.4;
SWC-100-Function Default Visibility,proxyWithdraw,L118,DAppSCAN-source/contracts/Blockchain Labs NZ-SynchroLife/synchrocoin-contracts-master/contracts/SynchroCoin.sol,SynchroCoin.sol,function proxyWithdraw(address participant) public returns (bool success){
SWC-131-Presence of unused variables,N/A,L12,DAppSCAN-source/contracts/Blockchain Labs NZ-Zipper/zipt_token-0a3c4238353122cfc76b9fb01cd60b28b8b0c9e4/contracts/ZipToken.sol,ZipToken.sol,bool public filled = false;
SWC-135-Code With No Effects,deposit,L186,DAppSCAN-source/contracts/BlockSec-blocksec_aloe_1.1_signed/aloe-blend-fd1635d8928c74ed24550d3f0d9a63f284a7f872/contracts/AloeBlend.sol,AloeBlend.sol,"(uint160 sqrtPriceX96, , , , , , ) = UNI_POOL.slot0();"
SWC-114-Transaction Order Dependence,deposit,// SWC-114-Transaction Order Dependence,DAppSCAN-source/contracts/BlockSec-blocksec_alpaca_v1.0_signed/bsc-alpaca-contract-cb13e32fe5a4ba6f63b0235bd4624715592e4abe/contracts/8.10/protocol/DeltaNeutralVault.sol,DeltaNeutralVault.sol,N/A
SWC-114-Transaction Order Dependence,withdraw,// SWC-114-Transaction Order Dependence,DAppSCAN-source/contracts/BlockSec-blocksec_alpaca_v1.0_signed/bsc-alpaca-contract-cb13e32fe5a4ba6f63b0235bd4624715592e4abe/contracts/8.10/protocol/DeltaNeutralVault.sol,DeltaNeutralVault.sol,N/A
SWC-116-Block values as a proxy for time,getTokenPrice,// SWC-116-Block values as a proxy for time,DAppSCAN-source/contracts/BlockSec-blocksec_alpaca_v1.0_signed/bsc-alpaca-contract-cb13e32fe5a4ba6f63b0235bd4624715592e4abe/contracts/8.10/protocol/PriceHelper.sol,PriceHelper.sol,N/A
SWC-135-Code With No Effects,N/A,L64,DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c/contracts/ApeProtocol/wrapper/beacon/ApeVault.sol,ApeVault.sol,mapping(address => bool) public hasAccess;
SWC-135-Code With No Effects,N/A,L71,DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c/contracts/ApeProtocol/wrapper/beacon/ApeVault.sol,ApeVault.sol,ApeAllowanceModule public allowanceModule;
SWC-105-Unprotected Ether Withdrawal,apeWithdrawSimpleToken,L133-135,DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c/contracts/ApeProtocol/wrapper/beacon/ApeVault.sol,ApeVault.sol,function apeWithdrawSimpleToken(uint256 _amount) public {
SWC-107-Reentrancy,deposit,L53-61,DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876/contracts/ImpossibleWrappedToken.sol,ImpossibleWrappedToken.sol,// wad = amount of wrapped tokens
SWC-107-Reentrancy,deposit,L65-73,DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876/contracts/ImpossibleWrappedToken.sol,ImpossibleWrappedToken.sol,// wad = amount of wrapped tokens
SWC-114-Transaction Order Dependence,deposit,L65-73,DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876/contracts/ImpossibleWrappedToken.sol,ImpossibleWrappedToken.sol,// wad = amount of wrapped tokens
SWC-112-Delegatecall to Untrusted Callee,ownerOf,L491-493,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/ve.sol,ve.sol,function ownerOf(uint _tokenId) public view returns (address) {
SWC-104-Unchecked Call Return Value,safeTransferFrom,L675-697,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/ve.sol,ve.sol,function safeTransferFrom(
SWC-107-Reentrancy,withdraw,L1097-1104,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/ve.sol,ve.sol,"assert(IERC20(token).transfer(msg.sender, value));"
SWC-113-DoS with Failed Call,getBlockByTime,L119-134,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/VEReward.sol,VEReward.sol,function getBlockByTime(uint _time) public view returns (uint) {
SWC-128-DoS With Block Gas Limit,claimRewardMany,L269-275,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/VEReward.sol,VEReward.sol,"function claimRewardMany(uint[] calldata tokenIds, Interval[][] calldata intervals) public returns (uint[] memory rewards) {"
SWC-105-Unprotected Ether Withdrawal,distribute,L35,DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/pools/liquidation/Liquidator.sol,Liquidator.sol,"TransferHelper.safeTransfer(collateral, pair, IERC20Minimal(collateral).balanceOf(address(this)));"
SWC-119-Shadowing State Variables,getStatus,L72-89,DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/Vault.sol,Vault.sol,function getStatus()
SWC-101-Integer Overflow and Underflow,isValidCDP,L156-166,DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/VaultManager.sol,VaultManager.sol,"function isValidCDP(address collateral_, address debt_, uint256 cAmount_, uint256 dAmount_) public view override returns (bool) {"
SWC-108-State Variable Default Visibility,N/A,L156,DAppSCAN-source/contracts/Byterocket-AsyncArt v2[05.26.2020]/async-contracts-1bbca6bfe1a171f1bb8369ff129d5aac234a6664/contracts/AsyncArtwork_v2.sol,AsyncArtwork_v2.sol,mapping(uint256 => ControlToken) controlTokenMapping;
SWC-131-Presence of unused variables,useControlToken,L601,DAppSCAN-source/contracts/Byterocket-AsyncArt v2[05.26.2020]/async-contracts-1bbca6bfe1a171f1bb8369ff129d5aac234a6664/contracts/AsyncArtwork_v2.sol,AsyncArtwork_v2.sol,int256 previousValue = lever.currentValue;
SWC-103-Floating Pragma,N/A,L3,DAppSCAN-source/contracts/Byterocket-Invictus Capital Fund Contract[01.27.2022]/TransparentUpgradeableProxy0x04Fd86C321E53D6D0070d30eAEFD1d93790EA3d2/@openzeppelin/contracts/proxy/Proxy.sol,Proxy.sol,pragma solidity ^0.8.0;
SWC-135-Code With No Effects,getAllPositionManagers,L87-90,DAppSCAN-source/contracts/Byterocket-Orbit DeFi[05.29.2022]/orbit-defi-541460999b7d8fa80c4a4a86383f583392436b67/contracts/PositionManagerFactory.sol,PositionManagerFactory.sol,function getAllPositionManagers() public view override returns (address[] memory) {
SWC-101-Integer Overflow and Underflow,zapIn,L53-54,DAppSCAN-source/contracts/Byterocket-Orbit DeFi[05.29.2022]/orbit-defi-541460999b7d8fa80c4a4a86383f583392436b67/contracts/actions/ZapIn.sol,ZapIn.sol,"uint256 amountInTo0 = (amountIn * 1e18) / (SwapHelper.getRatioFromRange(tickPool, tickLower, tickUpper) + 1e18);"
SWC-101-Integer Overflow and Underflow,N/A,L11-74,DAppSCAN-source/contracts/Byterocket-Orbit DeFi[05.29.2022]/orbit-defi-541460999b7d8fa80c4a4a86383f583392436b67/contracts/helpers/SwapHelper.sol,SwapHelper.sol,library SwapHelper {
SWC-101-Integer Overflow and Underflow,_calcTick,L131,DAppSCAN-source/contracts/Byterocket-Orbit DeFi[05.29.2022]/orbit-defi-541460999b7d8fa80c4a4a86383f583392436b67/contracts/modules/IdleLiquidityModule.sol,IdleLiquidityModule.sol,"return (((tick - tickDelta) / tickSpacing) * tickSpacing, ((tick + tickDelta) / tickSpacing) * tickSpacing);"
SWC-135-Code With No Effects,N/A,L27,DAppSCAN-source/contracts/Byterocket-RealityCards v1[05.19.2020]/RealityCards-Contracts-aad8ea70696d848e2fcb55b7932c7ba37b8f239e/contracts/RealityCards.sol,RealityCards.sol,uint256 private nftMintCount;
SWC-135-Code With No Effects,userRemainingDeposit,L198-204,DAppSCAN-source/contracts/Byterocket-RealityCards v1[05.19.2020]/RealityCards-Contracts-aad8ea70696d848e2fcb55b7932c7ba37b8f239e/contracts/RealityCards.sol,RealityCards.sol,function userRemainingDeposit(uint256 _tokenId) external view returns (uint256) {
SWC-135-Code With No Effects,rentalExpiryTime,L212-214,DAppSCAN-source/contracts/Byterocket-RealityCards v1[05.19.2020]/RealityCards-Contracts-aad8ea70696d848e2fcb55b7932c7ba37b8f239e/contracts/RealityCards.sol,RealityCards.sol,if (pps == 0) {
SWC-123-Requirement Violation,N/A,L467,DAppSCAN-source/contracts/Callisto_Network-Axiemon Token Security Audit/code/BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,"require(now > _lockTime , ""Contract is locked until 7 days"");"
SWC-135-Code With No Effects,N/A,L702 - L703,DAppSCAN-source/contracts/Callisto_Network-Axiemon Token Security Audit/code/BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,mapping (address => bool) private _isExcluded;
SWC-131-Presence of unused variables,N/A,L710,DAppSCAN-source/contracts/Callisto_Network-Axiemon Token Security Audit/code/BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,bool public mintedByDxsale = true;
SWC-135-Code With No Effects,balanceOf,L794 - L795,DAppSCAN-source/contracts/Callisto_Network-Axiemon Token Security Audit/code/BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,if (_isExcluded[account]) return _tOwned[account];
SWC-135-Code With No Effects,isExcludedFromReward,L828 - L831,DAppSCAN-source/contracts/Callisto_Network-Axiemon Token Security Audit/code/BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,// SWC-135-Code With No Effects: L828 - L831
SWC-135-Code With No Effects,deliver,L837 - L844,DAppSCAN-source/contracts/Callisto_Network-Axiemon Token Security Audit/code/BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,// SWC-135-Code With No Effects: L837 - L844
SWC-135-Code With No Effects,_transferBothExcluded,L865 - L874,DAppSCAN-source/contracts/Callisto_Network-Axiemon Token Security Audit/code/BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,// SWC-135-Code With No Effects: L865 - L874
SWC-135-Code With No Effects,_getCurrentSupply,L941 - L951,DAppSCAN-source/contracts/Callisto_Network-Axiemon Token Security Audit/code/BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,// SWC-135-Code With No Effects: L941 - L951
SWC-135-Code With No Effects,_takeLiquidity,L955 - L961,DAppSCAN-source/contracts/Callisto_Network-Axiemon Token Security Audit/code/BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,function _takeLiquidity(uint256 tLiquidity) private {
SWC-135-Code With No Effects,_tokenTransfer,L1106 - L1124,DAppSCAN-source/contracts/Callisto_Network-Axiemon Token Security Audit/code/BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,"function _tokenTransfer(address sender, address recipient, uint256 amount,bool takeFee) private {"
SWC-135-Code With No Effects,_transferToExcluded,L1137 - L1145,DAppSCAN-source/contracts/Callisto_Network-Axiemon Token Security Audit/code/BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,"function _transferToExcluded(address sender, address recipient, uint256 tAmount) private {"
SWC-135-Code With No Effects,_transferFromExcluded,L1148 - L1156,DAppSCAN-source/contracts/Callisto_Network-Axiemon Token Security Audit/code/BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,"function _transferFromExcluded(address sender, address recipient, uint256 tAmount) private {"
SWC-135-Code With No Effects,N/A,L702 - L703,DAppSCAN-source/contracts/Callisto_Network-Big Doge Coin Security Audit/code/code.sol,code.sol,mapping (address => bool) private _isExcluded;
SWC-135-Code With No Effects,N/A,L710,DAppSCAN-source/contracts/Callisto_Network-Big Doge Coin Security Audit/code/code.sol,code.sol,bool public mintedByDxsale = true;
SWC-105-Unprotected Ether Withdrawal,transfer,L166 - L172,DAppSCAN-source/contracts/Callisto_Network-Fantom Token (FTM) Security Audit Report/code/Etherscan-0x4e15361fd6b4bb609fa63c81a2be19d873717870.sol,Etherscan-0x4e15361fd6b4bb609fa63c81a2be19d873717870.sol,"function transfer(address _to, uint _amount) public returns (bool) {"
SWC-135-Code With No Effects,,L73 - L75,DAppSCAN-source/contracts/Callisto_Network-IDEX Security Audit/idex-4a05eb28e570e9820066474ff2adc924ce7a27bd/MyToken.sol,MyToken.sol,function () {
SWC-135-Code With No Effects,transfer,L97,DAppSCAN-source/contracts/Callisto_Network-Jarvis+ Token (JAR) Security Audit/code/JarvisPlusToken_flat.sol,JarvisPlusToken_flat.sol,require(_value <= balances[msg.sender]);
SWC-135-Code With No Effects,transferFrom,L167 - L168,DAppSCAN-source/contracts/Callisto_Network-Jarvis+ Token (JAR) Security Audit/code/JarvisPlusToken_flat.sol,JarvisPlusToken_flat.sol,require(_value <= balances[_from]);
SWC-105-Unprotected Ether Withdrawal,transfer,L454- L457,DAppSCAN-source/contracts/Callisto_Network-Linear Token (LINA) Token Security Audit Report/code/BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,"function transfer(address recipient, uint256 amount) public virtual override returns (bool) {"
SWC-104-Unchecked Call Return Value,transfer,L76,DAppSCAN-source/contracts/Callisto_Network-MaxiMine Token (MXM) Security Audit/code/code.sol,code.sol,// SWC-104-Unchecked Call Return Value: L76
SWC-111-Use of Deprecated Solidity Functions,assert,L23,DAppSCAN-source/contracts/Callisto_Network-McAfeeDex Security Audit/MCAFEEDEXCONTRACT-5db8389ce23ce11fb273c9573772287aa75ce43b/contract.sol,contract.sol,if (!assertion) throw;
SWC-111-Use of Deprecated Solidity Functions,create,L121,DAppSCAN-source/contracts/Callisto_Network-McAfeeDex Security Audit/MCAFEEDEXCONTRACT-5db8389ce23ce11fb273c9573772287aa75ce43b/contract.sol,contract.sol,if (msg.sender != minter) throw;
SWC-135-Code With No Effects,N/A,L157,DAppSCAN-source/contracts/Callisto_Network-McAfeeDex Security Audit/MCAFEEDEXCONTRACT-5db8389ce23ce11fb273c9573772287aa75ce43b/contract.sol,contract.sol,address public accountLevelsAddr; //the address of the AccountLevels contract
SWC-135-Code With No Effects,N/A,L161,DAppSCAN-source/contracts/Callisto_Network-McAfeeDex Security Audit/MCAFEEDEXCONTRACT-5db8389ce23ce11fb273c9573772287aa75ce43b/contract.sol,contract.sol,uint public feeRebate; //percentage times (1 ether)
SWC-107-Reentrancy,withdraw,L224,DAppSCAN-source/contracts/Callisto_Network-McAfeeDex Security Audit/MCAFEEDEXCONTRACT-5db8389ce23ce11fb273c9573772287aa75ce43b/contract.sol,contract.sol,"tokens[0][msg.sender] = safeSub(tokens[0][msg.sender], amount);"
SWC-105-Unprotected Ether Withdrawal,reclaimBNB,L94-197,DAppSCAN-source/contracts/Callisto_Network-Monsta Infinite Inception Security Audit Report/moni-smart-contracts-3303268d5456d51a5f7412be8cfca7e3caf73ed5/contracts/presale/MonstaPresale.sol,MonstaPresale.sol,function reclaimBNB() external onlyOwner {
SWC-105-Unprotected Ether Withdrawal,reclaimBNB,L94 - L96,DAppSCAN-source/contracts/Callisto_Network-Monsta Infinite Token Security Audit/moni-smart-contracts-3303268d5456d51a5f7412be8cfca7e3caf73ed5/contracts/presale/MonstaPresale.sol,MonstaPresale.sol,function reclaimBNB() external onlyOwner {
SWC-135-Code With No Effects,decimals,L332 - L334,DAppSCAN-source/contracts/Callisto_Network-Shield Protocol Token (SHIELD) Security Audit/smart-contract-f5c1a5d77c158f84889b65a4070f7b80c3cf6898/BinanceSmartChain_SHIELD.sol,BinanceSmartChain_SHIELD.sol,function decimals() external view override returns (uint256) {
SWC-135-Code With No Effects,symbol,L339 - L341,DAppSCAN-source/contracts/Callisto_Network-Shield Protocol Token (SHIELD) Security Audit/smart-contract-f5c1a5d77c158f84889b65a4070f7b80c3cf6898/BinanceSmartChain_SHIELD.sol,BinanceSmartChain_SHIELD.sol,function symbol() external view override returns (string memory) {
SWC-135-Code With No Effects,name,L346 - L348,DAppSCAN-source/contracts/Callisto_Network-Shield Protocol Token (SHIELD) Security Audit/smart-contract-f5c1a5d77c158f84889b65a4070f7b80c3cf6898/BinanceSmartChain_SHIELD.sol,BinanceSmartChain_SHIELD.sol,function name() external view override returns (string memory) {
SWC-113-DoS with Failed Call,includeInReward,L809 - L817,DAppSCAN-source/contracts/Callisto_Network-Wildfire Token Security Audit/Wildfirebeb20-main/wildfire.sol,wildfire.sol,for (uint256 i = 0; i < _excluded.length; i++) {
SWC-113-DoS with Failed Call,_getCurrentSupply,L898 - L902,DAppSCAN-source/contracts/Callisto_Network-Wildfire Token Security Audit/Wildfirebeb20-main/wildfire.sol,wildfire.sol,for (uint256 i = 0; i < _excluded.length; i++) {
SWC-105-Unprotected Ether Withdrawal,withdrawTokens,L279 - L282,DAppSCAN-source/contracts/Callisto_Network-Worthpad Security Audit Report/worth-71760542a40e580ad6c0c57c5ec5798072c0a3b0/WorthTokenSale.sol,WorthTokenSale.sol,"function withdrawTokens(address beneficiary, address _tokenAddr) external nonZeroAddress(beneficiary) onlyOwner _contractUp() _saleEnded() {"
SWC-135-Code With No Effects,lockTokens,L60,DAppSCAN-source/contracts/Callisto_Network-Worthpad Security Audit Report/worth-71760542a40e580ad6c0c57c5ec5798072c0a3b0/WorthTokenTimeLock.sol,WorthTokenTimeLock.sol,allDepositIds.push(_id);
SWC-114-Transaction Order Dependence,harvest,L104-134,DAppSCAN-source/contracts/Chainsecurity-Angle Protocol/angle-core-46e6d32837cbe97a4af0adb693e63afa0d01fc3e/contracts/genericLender/GenericAave.sol,GenericAave.sol,function harvest() external {
SWC-104-Unchecked Call Return Value,liquidate,L692,DAppSCAN-source/contracts/Chainsecurity-Angle Protocol  Borrowing Module/angle-borrow-0363b6a137a44e22ee06b3187ba74f7798c1af08/contracts/vaultManager/VaultManager.sol,VaultManager.sol,_repayDebt(
SWC-107-Reentrancy,liquidateBorrowAllowed,L465-501,DAppSCAN-source/contracts/Chainsecurity-Compound  cToken unredacted/compound-protocol-4a54ec5c55b66ea67d44b76f3056f0ed7229db8c/contracts/Comptroller.sol,Comptroller.sol,function liquidateBorrowAllowed(
SWC-107-Reentrancy,_setComptroller,L930-947,DAppSCAN-source/contracts/Chainsecurity-Compound  cToken unredacted/compound-protocol-4a54ec5c55b66ea67d44b76f3056f0ed7229db8c/contracts/CToken.sol,CToken.sol,function _setComptroller(ComptrollerInterface newComptroller) override public returns (uint) {
SWC-135-Code With No Effects,N/A,L137,DAppSCAN-source/contracts/Chainsecurity-MakerDAO  G-UNI LP Oracle/univ3-lp-oracle-0d25676e0956fc3a5359431c708106547c4fef26/src/GUniLPOracle.sol,GUniLPOracle.sol,uint256 constant WAD = 10 ** 18;
SWC-101-Integer Overflow and Underflow,convertTo18,L119,DAppSCAN-source/contracts/Chainsecurity-Oasis  Multiply Smart Contracts/multiply-proxy-actions-e277ac1471a95138aaa93b39cf2c16c36c769740/contracts/multiply/MultiplyProxyActions.sol,MultiplyProxyActions.sol,wad = amt.mul(10**(18 - IJoin(gemJoin).dec()));
SWC-104-Unchecked Call Return Value,increaseMultipleDepositCollateral,L172,DAppSCAN-source/contracts/Chainsecurity-Oasis  Multiply Smart Contracts/multiply-proxy-actions-e277ac1471a95138aaa93b39cf2c16c36c769740/contracts/multiply/MultiplyProxyActions.sol,MultiplyProxyActions.sol,IGem gem = IJoin(cdpData.gemJoin).gem();
SWC-107-Reentrancy,_relayTokens,L99-117,DAppSCAN-source/contracts/Chainsecurity-POA Network  OmniBridge/omnibridge-9e602a3719e32feabc18fc387b9474acfa28cfe2/contracts/upgradeable_contracts/components/common/TokensRelayer.sol,TokensRelayer.sol,function _relayTokens(
SWC-135-Code With No Effects,N/A,L57,DAppSCAN-source/contracts/Chainsecurity-Primitive Finance  Core engine smart contracts/rmm-core-c44f8ca1ee43772ec4ba56e031bdb6fb8aac0ca3/contracts/PrimitiveEngine.sol,PrimitiveEngine.sol,address public immutable override factory;
SWC-135-Code With No Effects,getRiskyGivenStable,L70-86,DAppSCAN-source/contracts/Chainsecurity-Primitive Finance  Core engine smart contracts/rmm-core-c44f8ca1ee43772ec4ba56e031bdb6fb8aac0ca3/contracts/libraries/ReplicationMath.sol,ReplicationMath.sol,function getRiskyGivenStable(
SWC-107-Reentrancy,N/A,L11,DAppSCAN-source/contracts/Chainsulting-1inch/liquidity-protocol-master/contracts/ReferralFeeReceiver.sol,ReferralFeeReceiver.sol,using UniERC20 for IERC20;
SWC-103-Floating Pragma,N/A,L3,DAppSCAN-source/contracts/Chainsulting-ApeCoin/0x4d224452801ACEd8B2F0aebE155379bb5D594381/SimpeToken.sol,SimpeToken.sol,pragma solidity ^0.8.10;
