name,line,category
MonstaPresale.sol,L94-197,SWC-105-Unprotected Ether Withdrawal
MonstaPresale.sol,L94 - L96,SWC-105-Unprotected Ether Withdrawal
BinanceSmartChain_SHIELD.sol,L332 - L334,SWC-135-Code With No Effects
BinanceSmartChain_SHIELD.sol,L339 - L341,SWC-135-Code With No Effects
BinanceSmartChain_SHIELD.sol,L346 - L348,SWC-135-Code With No Effects
wildfire.sol,L809 - L817,SWC-113-DoS with Failed Call
wildfire.sol,L898 - L902,SWC-113-DoS with Failed Call
WorthTokenSale.sol,L279 - L282,SWC-105-Unprotected Ether Withdrawal
WorthTokenTimeLock.sol,L60,SWC-135-Code With No Effects
GenericAave.sol,L104-134,SWC-114-Transaction Order Dependence
VaultManager.sol,L692,SWC-104-Unchecked Call Return Value
Comptroller.sol,L465-501,SWC-107-Reentrancy
CToken.sol,L930-947,SWC-107-Reentrancy
GUniLPOracle.sol,L137,SWC-135-Code With No Effects
MultiplyProxyActions.sol,L119,SWC-101-Integer Overflow and Underflow
MultiplyProxyActions.sol,L172,SWC-104-Unchecked Call Return Value
TokensRelayer.sol,L99-117,SWC-107-Reentrancy
PrimitiveEngine.sol,L57,SWC-135-Code With No Effects
ReplicationMath.sol,L70-86,SWC-135-Code With No Effects
ReferralFeeReceiver.sol,L11,SWC-107-Reentrancy
SimpeToken.sol,L3,SWC-103-Floating Pragma
Curate.sol,L3,SWC-103-Floating Pragma
Curate.sol,L3,SWC-103-Floating Pragma
yield.sol,L2,SWC-103-Floating Pragma
yield.sol,L532 - L541,SWC-108-State Variable Default Visibility
yield.sol,L640 - L644,SWC-128-DoS With Block Gas Limit
Escrow.sol,L40,SWC-110-Assert Violation
LockupToken.sol,L24,SWC-116-Block values as a proxy for time
FinToken.sol,L6,SWC-103-Floating Pragma
FinToken.sol,L225,SWC-101-Integer Overflow and Underflow
FountainBase.sol,L290-291,SWC-107-Reentrancy
FountainBase.sol,L295-L308,SWC-107-Reentrancy
HarvestPermit.sol,L13,SWC-119-Shadowing State Variables
JoinPermit.sol,L13,SWC-119-Shadowing State Variables
AccessControlCrossChainUpgradeable.sol,L4,SWC-103-Floating Pragma
CapperRole.sol,L2,SWC-103-Floating Pragma
AccessControl.sol,L4,SWC-103-Floating Pragma
AccessControl.sol,L4,SWC-102-Outdated Compiler Version
spi_staking.sol,L3,SWC-103-Floating Pragma
spi_staking.sol,L36 ,SWC-135-Code With No Effects
AccessControl.sol,L3,SWC-103-Floating Pragma
FinToken.sol,L7,SWC-103-Floating Pragma
FinToken.sol,L226,SWC-101-Integer Overflow and Underflow
Staking.sol,// SWC-103-Floating Pragma,SWC-103-Floating Pragma
CapperRole.sol,L2,SWC-103-Floating Pragma
AccessControl.sol,L4,SWC-102-Outdated Compiler Version
AccessControl.sol,L4,SWC-103-Floating Pragma
AddressResolver.sol,L2,SWC-103-Floating Pragma
AccessControl.sol,L3,SWC-103-Floating Pragma
AccessControl.sol,L3,SWC-103-Floating Pragma
Touch.sol,L128,SWC-101-Integer Overflow and Underflow
Roles.sol,L2,SWC-103-Floating Pragma
YieldFarm.sol,L3,SWC-103-Floating Pragma
YieldFarm.sol,L76,SWC-128-DoS With Block Gas Limit
Staking.sol,L3,SWC-103-Floating Pragma
CommunityVault.sol,L2,SWC-103-Floating Pragma
CommunityVault.sol,L19,SWC-107-Reentrancy
YieldFarm.sol,L3,SWC-103-Floating Pragma
YieldFarm.sol,L73 - L77,SWC-128-DoS With Block Gas Limit
YieldFarm.sol,L3,SWC-103-Floating Pragma
YieldFarm.sol,L73 - L77,SWC-128-DoS With Block Gas Limit
YieldFarmLP.sol,L3,SWC-103-Floating Pragma
YieldFarmLP.sol,L62 - L66,SWC-128-DoS With Block Gas Limit
DEAsingleStaking.sol,L70,SWC-100-Function Default Visibility
Vault.sol,L21,SWC-100-Function Default Visibility
Vault.sol,L25,SWC-100-Function Default Visibility
Vault.sol,L79,SWC-100-Function Default Visibility
Vault.sol,L84,SWC-100-Function Default Visibility
Vault.sol,L96,SWC-100-Function Default Visibility
Vault.sol,L112,SWC-100-Function Default Visibility
Vault.sol,L122,SWC-100-Function Default Visibility
Vault.sol,L140,SWC-100-Function Default Visibility
Vault.sol,L149,SWC-100-Function Default Visibility
etherscan-0xdad57280919b81268e13591462fa80ef7d92b10c.sol,L394,SWC-119-Shadowing State Variables
etherscan-0xdad57280919b81268e13591462fa80ef7d92b10c.sol,L487,SWC-119-Shadowing State Variables
etherscan-0xdad57280919b81268e13591462fa80ef7d92b10c.sol,L587,SWC-119-Shadowing State Variables
wHakka.sol,L509,SWC-116-Block values as a proxy for time
wHakka.sol,L556 - L573,SWC-107-Reentrancy
wHakka.sol,L576 - L592,SWC-107-Reentrancy
wHakka.sol,L580,SWC-116-Block values as a proxy for time
MasterChef.sol,L105 - L127,SWC-107-Reentrancy
MasterChef.sol,L131 - L143,SWC-107-Reentrancy
MasterChef.sol,L227 - L266,SWC-107-Reentrancy
MasterChef.sol,L247 - L251,SWC-107-Reentrancy
MasterChef.sol,L272 - L306,SWC-107-Reentrancy
MasterChef.sol,L310 - L329,SWC-107-Reentrancy
MasterChef.sol,L333 - L340,SWC-104-Unchecked Call Return Value
MasterChef.sol,L378 - L381,SWC-107-Reentrancy
MasterChef.sol,L384 - L389,SWC-104-Unchecked Call Return Value
erc20.sol,L280,SWC-119-Shadowing State Variables
erc20.sol,L282,SWC-119-Shadowing State Variables
erc20.sol,L280,SWC-119-Shadowing State Variables
erc20.sol,L282,SWC-119-Shadowing State Variables
strategy-base.sol,L237 - L268,SWC-104-Unchecked Call Return Value
strategy-base.sol,L271 - L288,SWC-104-Unchecked Call Return Value
strategy-base.sol,L291 - L322,SWC-104-Unchecked Call Return Value
strategy-base.sol,L325 - L342,SWC-104-Unchecked Call Return Value
strategy-basis-farm-base.sol,L78 - L152,SWC-104-Unchecked Call Return Value
SpaceMonkey.sol,L53 - L64,SWC-107-Reentrancy
SpaceMonkey.sol,L67,SWC-119-Shadowing State Variables
SpaceMonkey.sol,L194,SWC-119-Shadowing State Variables
Etherscan-0x9F599410D207f3D2828a8712e5e543AC2E040382.sol,L52 - L56,SWC-119-Shadowing State Variables
Etherscan-0x9F599410D207f3D2828a8712e5e543AC2E040382.sol,L373 - L394,SWC-107-Reentrancy
AllocationStaking.sol,L129-134,SWC-101-Integer Overflow and Underflow
AllocationStaking.sol,L207-214,SWC-101-Integer Overflow and Underflow
AllocationStaking.sol,L472-475,SWC-101-Integer Overflow and Underflow
Admin.sol,L43-68,SWC-113-DoS with Failed Call
AvalaunchSale.sol,L294,SWC-113-DoS with Failed Call
AvalaunchSale.sol,L346,SWC-113-DoS with Failed Call
AvalaunchCollateral.sol,L4,SWC-102-Outdated Compiler Version
AvalaunchCollateral.sol,L4,SWC-103-Floating Pragma
bbi.sol,L223,SWC-101-Integer Overflow and Underflow
bbi.sol,L243 - L245,SWC-105-Unprotected Ether Withdrawal
bitpara.sol,L3,SWC-102-Outdated Compiler Version
bitpara.sol,L3,SWC-103-Floating Pragma
CasperToken.sol,L2,SWC-102-Outdated Compiler Version
CasperToken.sol,L460-492,SWC-101-Integer Overflow and Underflow
code.sol,L6,SWC-102-Outdated Compiler Version
TeamsStorageController.sol,L48,SWC-104-Unchecked Call Return Value
DTT.sol,L375-376,SWC-101-Integer Overflow and Underflow
DTT.sol,L399,SWC-101-Integer Overflow and Underflow
Migrations.sol,L2,SWC-102-Outdated Compiler Version
ProPoolLib.sol,L2,SWC-102-Outdated Compiler Version
ProPoolLib.sol,L120,SWC-114-Transaction Order Dependence
Ark.sol,L3,SWC-102-Outdated Compiler Version
Ark.sol,L55,SWC-113-DoS with Failed Call
Vesting.sol,L139-199,SWC-113-DoS with Failed Call
Vesting.sol,L172-180,SWC-101-Integer Overflow and Underflow
BaseUpgradableMarketplace.sol,L151,SWC-113-DoS with Failed Call
BaseUpgradableMarketplace.sol,L155,SWC-113-DoS with Failed Call
MintingFactoryV2.sol,L3,SWC-102-Outdated Compiler Version
MintingFactoryV2.sol,L93 - L112,SWC-107-Reentrancy
RevenueToken.sol,L266,SWC-101-Integer Overflow and Underflow
TokenHolderRevenueFund.sol,L291,SWC-128-DoS With Block Gas Limit
USDTieredSTO.sol,L360,SWC-135-Code With No Effects
NanoLoanEngine.sol,L46,SWC-128-DoS With Block Gas Limit
MeshToken.sol,L2,SWC-102-Outdated Compiler Version
SafeMathLib.sol,L8 - L40,SWC-135-Code With No Effects
ISendToken.sol,L2 - L45,SWC-135-Code With No Effects
REAL.sol,L2,SWC-135-Code With No Effects
BondService.sol,L160,SWC-115-Authorization through tx.origin
BondService.sol,L172,SWC-115-Authorization through tx.origin
Gate.sol,L175-190,SWC-113-DoS with Failed Call
ExchangeService.sol,L129,SWC-115-Authorization through tx.origin
LeverageService.sol,L131,SWC-115-Authorization through tx.origin
woonklyPOS.sol,L743 - L769,SWC-107-Reentrancy
woonklyPOS.sol,L874 - L886,SWC-113-DoS with Failed Call
Ownable.sol,// SWC-135-Code With No Effects,SWC-135-Code With No Effects
TokenTranchePricing.sol,L45-69,SWC-101-Integer Overflow and Underflow
code.sol,L5,SWC-102-Outdated Compiler Version
incognito_proxy.sol,L2,SWC-102-Outdated Compiler Version
transparentUpgraded.sol,L299 - L303,SWC-100-Function Default Visibility
vault.sol,L409,SWC-101-Integer Overflow and Underflow
vault.sol,L513 - L548,SWC-114-Transaction Order Dependence
vault.sol,L513 - L548,SWC-105-Unprotected Ether Withdrawal
BorrowerOperations.sol,L321 - L351,SWC-105-Unprotected Ether Withdrawal
TempusController.sol,L352-386,SWC-107-Reentrancy
TempusController.sol,L395-436,SWC-107-Reentrancy
MetaTransactionsFeature.sol,L100-107,SWC-107-Reentrancy
UniswapFeature.sol,L203-206,SWC-107-Reentrancy
ERC20Proxy.sol,L21,SWC-135-Code With No Effects
AssetProxyOwner.sol,L19,SWC-102-Outdated Compiler Version
MixinAssetProxyDispatcher.sol,L32,SWC-135-Code With No Effects
MixinSignatureValidator.sol,L52-L59,SWC-122-Lack of Proper Signature Verification
LibAssetData.sol,L40,SWC-119-Shadowing State Variables
Staking.sol,L37-40,SWC-135-Code With No Effects
IStructs.sol,L62,SWC-135-Code With No Effects
IStructs.sol,L115,SWC-135-Code With No Effects
LibFixedMath.sol,L361-378,SWC-101-Integer Overflow and Underflow
MixinStakingPool.sol,L1-350,SWC-112-Delegatecall to Untrusted Callee
MixinScheduler.sol,L71,SWC-116-Block values as a proxy for time
Mooniswap.sol,L331-341,SWC-105-Unprotected Ether Withdrawal
ReferralFeeReceiver.sol,L38-50,SWC-105-Unprotected Ether Withdrawal
GovernanceMothership.sol,L50,SWC-124-Write to Arbitrary Storage Location
LendingPool.sol,L92-119,SWC-107-Reentrancy
LendingPool.sol,L579,SWC-104-Unchecked Call Return Value
LendingPoolCollateralManager.sol,L490-517,SWC-105-Unprotected Ether Withdrawal
Amp.sol,L3,SWC-102-Outdated Compiler Version
Amp.sol,L619,SWC-104-Unchecked Call Return Value
Amp.sol,L1131-L1201,SWC-107-Reentrancy
FlexaCollateralManager.sol,L1463-L1470,SWC-128-DoS With Block Gas Limit
FundraisingMultisigTemplate.sol,L335,SWC-108-State Variable Default Visibility
TimeHelpers.sol,L37-L39,SWC-135-Code With No Effects
JoinSplit.sol,L75-L78,SWC-101-Integer Overflow and Underflow
BNum.sol,L68-69,SWC-101-Integer Overflow and Underflow
StandardBounties.sol,L2-L725,SWC-108-State Variable Default Visibility
StandardBounties.sol,L3,SWC-103-Floating Pragma
StandardBounties.sol,L48-L49,SWC-108-State Variable Default Visibility
StandardBounties.sol,L246-L265,SWC-108-State Variable Default Visibility
StandardBounties.sol,L249,SWC-101-Integer Overflow and Underflow
AccessToken.sol,L2-308,SWC-101-Integer Overflow and Underflow
AccessToken.sol,L302-307,SWC-135-Code With No Effects
BrickblockAccount.sol,L84-95,SWC-105-Unprotected Ether Withdrawal
ExchangeRateProvider.sol,L54-55,SWC-135-Code With No Effects
TransactionManager.sol,L229 - L254,SWC-107-Reentrancy
Accounts.sol,L387,SWC-128-DoS With Block Gas Limit
CompHelper.sol,L27-138,SWC-104-Unchecked Call Return Value
FLAaveV2.sol,L106-137,SWC-107-Reentrancy
ZeroxWrapper.sol,L42-50,SWC-101-Integer Overflow and Underflow
KyberWrapperV3.sol,L101-109,SWC-101-Integer Overflow and Underflow
ZrxAllowlist.sol,L3-39,SWC-135-Code With No Effects
ETHRegistrarController.sol,L46-L49,SWC-114-Transaction Order Dependence
ETHRegistrarController.sol,L56-L65,SWC-104-Unchecked Call Return Value
SimplePriceOracle.sol,L27-L29,SWC-101-Integer Overflow and Underflow
StablePriceOracle.sol,L58-L64,SWC-101-Integer Overflow and Underflow
FlywheelGaugeRewards.sol,L198,SWC-110-Assert Violation
ERC20Gauges.sol,L500-L505,SWC-110-Assert Violation
ERC20MultiVotes.sol,L252-261,SWC-110-Assert Violation
xTRIBE.sol,L90-L100,SWC-105-Unprotected Ether Withdrawal
GenesisGroup.sol,L132,SWC-101-Integer Overflow and Underflow
EthUniswapPCVController.sol,L123,SWC-104-Unchecked Call Return Value
Pool.sol,L121,SWC-104-Unchecked Call Return Value
UniswapSingleEthRouter.sol,L22,SWC-110-Assert Violation
UniswapIncentive.sol,L128-149,SWC-101-Integer Overflow and Underflow
CollateralizationOracle.sol,L323,SWC-101-Integer Overflow and Underflow
CollateralizationOracle.sol,L327,SWC-101-Integer Overflow and Underflow
BalancerLBPSwapper.sol,L108-118,SWC-114-Transaction Order Dependence
BalancerLBPSwapper.sol,L174-258,SWC-105-Unprotected Ether Withdrawal
Hypervisor.sol,L81-142,SWC-105-Unprotected Ether Withdrawal
Hypervisor.sol,L175-216,SWC-107-Reentrancy
Hypervisor.sol,L415,SWC-135-Code With No Effects
UniProxy.sol,L67-126,SWC-105-Unprotected Ether Withdrawal
UniProxy.sol,L75-82,SWC-107-Reentrancy
UniProxy.sol,L259-276,SWC-135-Code With No Effects
GovernorAlpha.sol,L2,SWC-102-Outdated Compiler Version
TokenDistributor.sol,L105-141,SWC-135-Code With No Effects
TokenDistributor.sol,L259,SWC-133-Hash Collisions With Multiple Variable Length Arguments
Exchange.sol,L80-90,SWC-107-Reentrancy
DydxFlashLoanAbstraction.sol,L64-70,SWC-128-DoS With Block Gas Limit
IdleCDO.sol,L242-258,SWC-107-Reentrancy
IexecAccessorsABILegacyDelegate.sol,L114,SWC-128-DoS With Block Gas Limit
Exchange.sol,L20,SWC-131-Presence of unused variables
LibMath.sol,L90-96,SWC-131-Presence of unused variables
AMM.sol,L17,SWC-131-Presence of unused variables
AMM.sol,L500-502,SWC-104-Unchecked Call Return Value
ChainlinkAdapter.sol,L18,SWC-101-Integer Overflow and Underflow
Brokerage.sol,L2,SWC-102-Outdated Compiler Version
Perpetual.sol,L4-5,SWC-135-Code With No Effects
Perpetual.sol,L34-41,SWC-119-Shadowing State Variables
Perpetual.sol,L270-289,SWC-105-Unprotected Ether Withdrawal
Array256Lib.sol,L2-L230,SWC-101-Integer Overflow and Underflow
BasicMathLib.sol,L1-L106,SWC-101-Integer Overflow and Underflow
CrowdsaleLib.sol,L204-L208,SWC-106-Unprotected SELFDESTRUCT Instruction
InteractiveCrowdsaleLib.sol,L1-L655,SWC-100-Function Default Visibility
InteractiveCrowdsaleLib.sol,L392-L395,SWC-101-Integer Overflow and Underflow
InteractiveCrowdsaleLib.sol,L543-550,SWC-104-Unchecked Call Return Value
InteractiveCrowdsaleTestContract.sol,L22,SWC-135-Code With No Effects
PaymentStartStandardExit.sol,L124,SWC-116-Block values as a proxy for time
PlasmaFramework.sol,L7,SWC-135-Code With No Effects
PlasmaFramework.sol,L10,SWC-135-Code With No Effects
SimpleMultiSig.sol,L2,SWC-102-Outdated Compiler Version
TokenFaucet.sol,L81,SWC-135-Code With No Effects
TokenFaucet.sol,L127,SWC-135-Code With No Effects
LootBox.sol,L64-L68,SWC-100-Function Default Visibility
Pod.sol,L275-282,SWC-107-Reentrancy
Pod.sol,L279,SWC-104-Unchecked Call Return Value
TokenDrop.sol,L82-88,SWC-105-Unprotected Ether Withdrawal
TokenDrop.sol,L141-155,SWC-107-Reentrancy
YearnV2YieldSource.sol,L118-L129,SWC-107-Reentrancy
LiquidStakingV2.sol,L370-404,SWC-128-DoS With Block Gas Limit
STokensV2.sol,L125-140,SWC-128-DoS With Block Gas Limit
ReversibleICO.sol,L230-299,SWC-113-DoS with Failed Call
ReversibleICO.sol,L948,SWC-119-Shadowing State Variables
RocketDAONodeTrusted.sol,L21-22,SWC-131-Presence of unused variables
RocketDepositPool.sol,L116-129,SWC-128-DoS With Block Gas Limit
RocketNodeStaking.sol,L150,SWC-104-Unchecked Call Return Value
RocketNodeStaking.sol,L166,SWC-114-Transaction Order Dependence
RocketTokenRETH.sol,L107-124,SWC-114-Transaction Order Dependence
BountyV2.sol,L142-159,SWC-135-Code With No Effects
Nodes.sol,L800,SWC-135-Code With No Effects
SchainsInternal.sol,L532,SWC-128-DoS With Block Gas Limit
DelegationRequestManager.sol,L74-76,SWC-101-Integer Overflow and Underflow
DelegationService.sol,L152-158,SWC-135-Code With No Effects
DelegationService.sol,L310-316,SWC-128-DoS With Block Gas Limit
SkaleBalances.sol,L55-68,SWC-107-Reentrancy
TokenState.sol,L65,SWC-128-DoS With Block Gas Limit
TokenState.sol,L259-265,SWC-105-Unprotected Ether Withdrawal
LockableERC777.sol,L399-422,SWC-107-Reentrancy
EternalHeroesFactory.sol,L279-285,SWC-107-Reentrancy
NodeRegistry.sol,L125-133,SWC-135-Code With No Effects
NodeRegistry.sol,L152-159,SWC-114-Transaction Order Dependence
Parameterizer.sol,L130,SWC-101-Integer Overflow and Underflow
Parameterizer.sol,L135,SWC-101-Integer Overflow and Underflow
Parameterizer.sol,L165,SWC-101-Integer Overflow and Underflow
PLCRVoting.sol,L87,SWC-101-Integer Overflow and Underflow
PLCRVoting.sol,L211,SWC-101-Integer Overflow and Underflow
PLCRVoting.sol,L294 - L298,SWC-101-Integer Overflow and Underflow
Registry.sol,L98,SWC-101-Integer Overflow and Underflow
KeepRandomBeaconOperator.sol,L452-L494,SWC-120-Weak Sources of Randomness from Chain Attributes
Moloch.sol,L266-305,SWC-114-Transaction Order Dependence
Moloch.sol,L408-413,SWC-105-Unprotected Ether Withdrawal
Moloch.sol,L638-640,SWC-101-Integer Overflow and Underflow
Umbra.sol,L308-330,SWC-121-Missing Protection against Signature Replay Attacks
zAuctionAccountant.sol,L44-52,SWC-135-Code With No Effects
zAuctionAccountant.sol,L60-68,SWC-114-Transaction Order Dependence
DynamicLiquidTokenConverter.sol,L124-L132,SWC-114-Transaction Order Dependence
DynamicLiquidTokenConverter.sol,L125-L130,SWC-107-Reentrancy
DynamicLiquidTokenConverterFactory.sol,L7,SWC-135-Code With No Effects
Registrar.sol,L8-11,SWC-135-Code With No Effects
Registrar.sol,L51-67,SWC-135-Code With No Effects
StakingController.sol,L92-101,SWC-105-Unprotected Ether Withdrawal
StakingController.sol,L121-153,SWC-122-Lack of Proper Signature Verification
StakingController.sol,L135,SWC-117-Signature Malleability
OwnableUpgradeable.sol,L23,SWC-108-State Variable Default Visibility
AOC_BEP.sol,L115 - L126,SWC-118-Incorrect Constructor Name
AOC_BEP.sol,L362,SWC-135-Code With No Effects
AOC_BEP.sol,L362,SWC-105-Unprotected Ether Withdrawal
DateTime.sol,L2,SWC-103-Floating Pragma
AOC_ERC20.sol,L116,SWC-118-Incorrect Constructor Name
Staking.sol,L138,SWC-100-Function Default Visibility
Staking.sol,L203,SWC-100-Function Default Visibility
Staking.sol,L208,SWC-100-Function Default Visibility
Staking.sol,L213,SWC-100-Function Default Visibility
Amoss.sol,L244 - L246,SWC-135-Code With No Effects
ArgonFreelancers.sol,L2,SWC-102-Outdated Compiler Version
Ania.sol,L8,SWC-102-Outdated Compiler Version
Ania.sol,L8,SWC-103-Floating Pragma
AniaLottery.sol,L4,SWC-102-Outdated Compiler Version
AniaLottery.sol,L4,SWC-103-Floating Pragma
AniaLottery.sol,L119 - L121,SWC-105-Unprotected Ether Withdrawal
AniaStake.sol,L4,SWC-102-Outdated Compiler Version
AniaStake.sol,L4,SWC-103-Floating Pragma
AniaStake.sol,L185 - L194    ,SWC-128-DoS With Block Gas Limit
MasterChef.sol,L189,SWC-128-DoS With Block Gas Limit
MasterChef.sol,L259,SWC-128-DoS With Block Gas Limit
BSB_StakingSmartStakers.sol,L393 - L401,SWC-128-DoS With Block Gas Limit
BSB_StakingSmartStakers.sol,L416 - L418,SWC-128-DoS With Block Gas Limit
Migrations.sol,L2,SWC-103-Floating Pragma
Migrations.sol,L2,SWC-103-Floating Pragma
Storage.sol,L63 - L76,SWC-108-State Variable Default Visibility
Bolide.sol,L112,SWC-108-State Variable Default Visibility
MasterChef.sol,L2,SWC-103-Floating Pragma
TreasuryVester.sol,L2,SWC-102-Outdated Compiler Version
BullMasterchef.sol,L196-201,SWC-128-DoS With Block Gas Limit
CENNZnetBridge.sol,L99-120,SWC-105-Unprotected Ether Withdrawal
CGUToken.sol,L55,SWC-100-Function Default Visibility
CGUToken.sol,L80,SWC-100-Function Default Visibility
ChimVesting.sol,L242,SWC-116-Block values as a proxy for time
CDEX_rewards.sol,L3,SWC-103-Floating Pragma
CDEX_rewards.sol,L362 - L391,SWC-104-Unchecked Call Return Value
CDEX_rewards.sol,L395 - L420,SWC-104-Unchecked Call Return Value
CDEX_rewards.sol,L418,SWC-104-Unchecked Call Return Value
CDEX_rewards.sol,L424 - L456,SWC-104-Unchecked Call Return Value
CDEX_rewards.sol,L486 - L498,SWC-104-Unchecked Call Return Value
CDEX_rewards.sol,L615,SWC-135-Code With No Effects
LatticeStakingPool0x74299A718b2c44483a27325d7725F0B2646DE3B1.sol,L1795,SWC-128-DoS With Block Gas Limit
StakingRewardsFactory.sol,L52,SWC-100-Function Default Visibility
Token.sol,L7,SWC-135-Code With No Effects
DeHealthToken.sol,L7,SWC-103-Floating Pragma
DProxy.sol,L7,SWC-103-Floating Pragma
MyToken.sol,L1,SWC-103-Floating Pragma
EDAINStaking.sol,L3,SWC-103-Floating Pragma
EDAINToken.sol,L3,SWC-103-Floating Pragma
TxPermission.sol,L184,SWC-131-Presence of unused variables
TxPermission.sol,L313-L314,SWC-131-Presence of unused variables
FidoMeta.sol,L2,SWC-103-Floating Pragma
